DATE/TIME,ADDRESS,CITY,COUNTY,AGENCY,RANK,OFFICER NAME,YRS EXP,INJURIES,CLEARED?,BODY CAM,RACE,SEX,NOTES
2/3/18 9:45 AM,900 91ST AVE,OAKLAND,ALAMEDA,OAKLAND POLICE DEPARTMENT,,,,NONE,,,,,
2/1/18 9:40 AM,ARBOR AVE,HAYWARD,ALAMEDA,ALAMEDA COUNTY SHERIFF'S OFFICE,,,,NONE,,,,,
1/29/18 2:56 PM,800 FELLER AVE,SAN JOSE,SANTA CLARA,SAN JOSE POLICE DEPARTMENT,,,19,NONE,,ON,,M,
1/14/18 10:40 PM,500 CITY CENTER DRIVE,ROHNERT PARK,SONOMA,ROHNERT PARK DEPARTMENT OF PUBLIC SAFETY,,,,NONE,,,,,
1/14/18 10:40 PM,500 CITY CENTER DRIVE,ROHNERT PARK,SONOMA,ROHNERT PARK DEPARTMENT OF PUBLIC SAFETY,,,,NONE,,,,,
1/14/18 10:40 PM,500 CITY CENTER DRIVE,ROHNERT PARK,SONOMA,ROHNERT PARK DEPARTMENT OF PUBLIC SAFETY,,,,NONE,,,,,
1/14/18 10:40 PM,500 CITY CENTER DRIVE,ROHNERT PARK,SONOMA,ROHNERT PARK DEPARTMENT OF PUBLIC SAFETY,,,,NONE,,,,,
1/14/18 10:40 PM,500 CITY CENTER DRIVE,ROHNERT PARK,SONOMA,ROHNERT PARK DEPARTMENT OF PUBLIC SAFETY,SGT.,KELLY KOFFLER,,NONE,,ON,,M,
1/12/18 10:45 PM,3789 RAILROAD AVE,PITTSBURG,CONTRA COSTA,PITTSBURG POLICE DEPARTMENT,,,,NONE,,,,,
1/9/18 5:02 PM,1 BLANCHARD ROAD,SAN JOSE,SANTA CLARA,SAN JOSE POLICE DEPARTMENT,OFFICER,ADAM HUTSON,14,NONE,,ON,,M,
1/9/18 5:02 PM,1 BLANCHARD ROAD,SAN JOSE,SANTA CLARA,SAN JOSE POLICE DEPARTMENT,OFFICER,TIMOTHY FAYE,15,NONE,,ON,,M,
1/3/18 4:41 PM,1498 SEVENTH ST,OAKLAND,ALAMEDA,BART POLICE DEPARTMENT,OFFICER,JOSEPH MATEU,10,NONE,,ON,,M,
12/30/17 2:25 PM,1900 BROADWAY,REDWOOD CITY,SAN MATEO,REDWOOD CITY POLICE DEPARTMENT,SGT.,NICK PERNA,,NONE,3/7/2018,,,M,
12/30/17 2:25 PM,1900 BROADWAY,REDWOOD CITY,SAN MATEO,REDWOOD CITY POLICE DEPARTMENT,SGT.,ED CONOVER,,NONE,3/7/2018,,,M,
12/30/17 2:25 PM,1900 BROADWAY,REDWOOD CITY,SAN MATEO,REDWOOD CITY POLICE DEPARTMENT,OFFICER,JUNSUN LEE,,NONE,3/7/2018,,,M,
12/30/17 2:25 PM,1900 BROADWAY,REDWOOD CITY,SAN MATEO,REDWOOD CITY POLICE DEPARTMENT,OFFICER,RICHARD SANTIAGO,,NONE,3/7/2018,,,M,
12/30/17 2:25 PM,1900 BROADWAY,REDWOOD CITY,SAN MATEO,REDWOOD CITY POLICE DEPARTMENT,OFFICER,MARK ALIFANO,,NONE,3/7/2018,,,M,
12/30/17 2:25 PM,1900 BROADWAY,REDWOOD CITY,SAN MATEO,REDWOOD CITY POLICE DEPARTMENT,OFFICER,DAVE DENNING,,NONE,3/7/2018,,,M,
12/30/17 2:25 PM,1900 BROADWAY,REDWOOD CITY,SAN MATEO,REDWOOD CITY POLICE DEPARTMENT,OFFICER,RYAN KIMBER,,NONE,3/7/2018,,,M,
12/30/17 2:25 PM,1900 BROADWAY,REDWOOD CITY,SAN MATEO,SAN MATEO COUNTY SHERIFF’S OFFICE,DEPUTY,DANIEL CHIU,,NONE,3/7/2018,,,M,
12/25/17 1:47,22300 PRINCETON ST,HAYWARD,ALAMEDA,ALAMEDA COUNTY SHERIFF'S OFFICE,,,,,,,,,
12/19/17 5:45 PM,SAN CLEMENTE DRIVE,CORTE MADERA,MARIN,CENTRAL MARIN POLICE AUTHORITY,,,,,,,,,
12/17/17 4:55 AM,757 MARKET ST.,SAN FRANCISCO,SAN FRANCISCO,RICHMOND POLICE DEPARTMENT,SGT.,PHILLIP SANCHEZ,,,,,,M,
12/1/17 10:30 AM,GRIFFITH ST & FITZGERALD AVE,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,CHRISTOPHER SAMAYOA,0,NONE,,,,M,
11/16/17 12:30 AM,1700 NEVIN AVE.,RICHMOND,CONTRA COSTA,BART POLICE DEPARTMENT,,,,,,,,,
11/14/17 6:00 PM,700 PRIMROSE LANE,BENICIA,SOLANO,SOLANO COUNTY SHERIFF'S OFFICE,,,,,,,,,
11/1/17 12:03 AM,18TH ST & DIAMOND ST,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,`,,9,NOT FATAL,,,,M,
10/31/17 10:30 PM,300 BAILHACHE AVE,HEALDSBURG,SONOMA,SONOMA COUNTY SHERIFF'S OFFICE,,,,NONE,,,,,
10/31/17 10:30 PM,300 BAILHACHE AVE,HEALDSBURG,SONOMA,SONOMA COUNTY SHERIFF'S OFFICE,,,,NONE,,,,,
10/31/17 1:00 PM,500 E. WEDDELL AVE.,SUNNYVALE,SANTA CLARA,SUNNYVALE DEPARTMENT OF PUBLIC SAFETY,LT.,EMMETT LARKIN,19,NONE,2/25/2016,ON,,M,
10/21/17 11:51 PM,1051 AIRWAY BLVD,LIVERMORE,ALAMEDA,LIVERMORE POLICE DEPARTMENT,OFFICER,BRITTNEY ENGLAND,2,NONE,,,,F,
10/21/17 11:51 PM,1051 AIRWAY BLVD,LIVERMORE,ALAMEDA,LIVERMORE POLICE DEPARTMENT,OFFICER,TYLER SHARP,3,NONE,,,,M,
10/21/17 1:42 AM,100 GARDEN CIRCLE,CLOVERDALE,SONOMA,CLOVERDALE POLICE DEPARTMENT,,,,NONE,,,,,
10/21/17 1:42 AM,100 GARDEN CIRCLE,CLOVERDALE,SONOMA,CLOVERDALE POLICE DEPARTMENT,,,,NONE,,,,,
10/21/17 1:13 AM,EL CAMINO REAL & SCOTT BLVD,SANTA CLARA,SANTA CLARA,SANTA CLARA POLICE DEPARTMENT,OFFICER,JORDAN FACHKO,4,NONE,,,WHITE,M,
9/27/17 9:30 AM,INTERSTATE 80 & POWELL STREET,EMERYVILLE,ALAMEDA,RICHMOND POLICE DEPARTMENT,SGT,DONVAN DECIOUS,16,,,,,,
9/27/17 9:30 AM,INTERSTATE 80 & POWELL STREET,EMERYVILLE,ALAMEDA,RICHMOND POLICE DEPARTMENT,SGT,CHRISTOPHER LLAMAS,15,,,,,,
9/27/17 9:30 AM,INTERSTATE 80 & POWELL STREET,EMERYVILLE,ALAMEDA,RICHMOND POLICE DEPARTMENT,DETECTIVE,ANTHONY DIAZ,9,,,,,,
9/27/17 9:30 AM,INTERSTATE 80 & POWELL STREET,EMERYVILLE,ALAMEDA,RICHMOND POLICE DEPARTMENT,DETECTIVE,MICHAEL RICCHIUTO,6,,,,,,
9/27/17 9:30 AM,INTERSTATE 80 & POWELL STREET,EMERYVILLE,ALAMEDA,RICHMOND POLICE DEPARTMENT,OFFICER,BEN MENDLER,9,,,,,,
9/27/17 9:30 AM,INTERSTATE 80 & POWELL STREET,EMERYVILLE,ALAMEDA,RICHMOND POLICE DEPARTMENT,OFFICER,ORLANDO GUZMAN,5,,,,,,
9/27/17 9:30 AM,INTERSTATE 80 & POWELL STREET,EMERYVILLE,ALAMEDA,RICHMOND POLICE DEPARTMENT,OFFICER,CEDRIC TAGORDA,10,,,,,,
